fold,rmse,mae,r2,n_train,n_val
1,0.03494613510510839,0.02252703264112474,0.7617853549296526,3885,3883
2,0.026585788535990255,0.0176464252301524,0.8039794338187742,7768,3883
3,0.046526675529092905,0.02471532615909395,0.7490848382183335,11651,3883
4,0.03712720776917193,0.024676314882953534,0.8040467687317391,15534,3883
5,0.04829697418608136,0.02812333110111945,0.8787231272839191,19417,3883
