Date,Open,High,Low,Close,Adj Close,Volume
12-30-27,17.660000,17.660000,17.660000,17.660000,17.660000,0
01-03-28,17.760000,17.760000,17.760000,17.760000,17.760000,0
01-04-28,17.719999,17.719999,17.719999,17.719999,17.719999,0
01-05-28,17.549999,17.549999,17.549999,17.549999,17.549999,0
01-06-28,17.660000,17.660000,17.660000,17.660000,17.660000,0
01-09-28,17.500000,17.500000,17.500000,17.500000,17.500000,0
01-10-28,17.370001,17.370001,17.370001,17.370001,17.370001,0
01-11-28,17.350000,17.350000,17.350000,17.350000,17.350000,0
01-12-28,17.469999,17.469999,17.469999,17.469999,17.469999,0
01-13-28,17.580000,17.580000,17.580000,17.580000,17.580000,0
01-16-28,17.290001,17.290001,17.290001,17.290001,17.290001,0
01-17-28,17.299999,17.299999,17.299999,17.299999,17.299999,0
01-18-28,17.260000,17.260000,17.260000,17.260000,17.260000,0
01-19-28,17.379999,17.379999,17.379999,17.379999,17.379999,0
01-20-28,17.480000,17.480000,17.480000,17.480000,17.480000,0
01-23-28,17.639999,17.639999,17.639999,17.639999,17.639999,0
01-24-28,17.709999,17.709999,17.709999,17.709999,17.709999,0
01-25-28,17.520000,17.520000,17.520000,17.520000,17.520000,0
01-26-28,17.629999,17.629999,17.629999,17.629999,17.629999,0
01-27-28,17.690001,17.690001,17.690001,17.690001,17.690001,0
01-30-28,17.490000,17.490000,17.490000,17.490000,17.490000,0
01-31-28,17.570000,17.570000,17.570000,17.570000,17.570000,0
02-01-28,17.530001,17.530001,17.530001,17.530001,17.530001,0
02-02-28,17.629999,17.629999,17.629999,17.629999,17.629999,0
02-03-28,17.400000,17.400000,17.400000,17.400000,17.400000,0
02-06-28,17.450001,17.450001,17.450001,17.450001,17.450001,0
02-07-28,17.440001,17.440001,17.440001,17.440001,17.440001,0
02-08-28,17.490000,17.490000,17.490000,17.490000,17.490000,0
02-09-28,17.549999,17.549999,17.549999,17.549999,17.549999,0
02-10-28,17.540001,17.540001,17.540001,17.540001,17.540001,0
02-14-28,17.440001,17.440001,17.440001,17.440001,17.440001,0
02-15-28,17.400000,17.400000,17.400000,17.400000,17.400000,0
02-16-28,17.350000,17.350000,17.350000,17.350000,17.350000,0
02-17-28,17.040001,17.040001,17.040001,17.040001,17.040001,0
02-20-28,16.950001,16.950001,16.950001,16.950001,16.950001,0
02-21-28,17.110001,17.110001,17.110001,17.110001,17.110001,0
02-23-28,17.129999,17.129999,17.129999,17.129999,17.129999,0
02-24-28,17.180000,17.180000,17.180000,17.180000,17.180000,0
02-27-28,17.110001,17.110001,17.110001,17.110001,17.110001,0
02-28-28,17.160000,17.160000,17.160000,17.160000,17.160000,0
02-29-28,17.260000,17.260000,17.260000,17.260000,17.260000,0
03-01-28,17.299999,17.299999,17.299999,17.299999,17.299999,0
03-02-28,17.299999,17.299999,17.299999,17.299999,17.299999,0
03-05-28,17.570000,17.570000,17.570000,17.570000,17.570000,0
03-06-28,17.670000,17.670000,17.670000,17.670000,17.670000,0
03-07-28,17.580000,17.580000,17.580000,17.580000,17.580000,0
03-08-28,17.639999,17.639999,17.639999,17.639999,17.639999,0
03-09-28,17.930000,17.930000,17.930000,17.930000,17.930000,0
03-12-28,18.000000,18.000000,18.000000,18.000000,18.000000,0
03-13-28,17.920000,17.920000,17.920000,17.920000,17.920000,0
03-14-28,17.930000,17.930000,17.930000,17.930000,17.930000,0
03-15-28,18.070000,18.070000,18.070000,18.070000,18.070000,0
